id,lang,question,gpt55_product,gpt55_manual,current_agent_type,current_product,current_manual,same_agent,same_product,same_manual,match,current_reason,gpt55_time,current_time
78,zh,如何使用空调的自动转换运行功能？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:16:07,2026-06-04T21:55:14
79,zh,如何开启空调的节能制冷模式？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:16:05,2026-06-04T21:55:17
80,zh,无遥控器时如何操作空调？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:16:27,2026-06-04T21:55:35
81,zh,如何让空调实现自动重启？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:16:24,2026-06-04T21:56:17
82,zh,不同型号空调的清洁频率是多少？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:16:27,2026-06-04T21:56:35
83,zh,如何清洁空调的空气滤网？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:16:41,2026-06-04T21:56:39
84,zh,如何清洁空调的3M多重防护滤网？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:16:47,2026-06-04T21:57:27
85,zh,如何清洁空调的等离子滤网？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:16:45,2026-06-04T21:57:32
86,zh,如何快速组装蒸汽清洁机？,蒸汽清洁机,蒸汽清洁机手册,expert,蒸汽清洁机,蒸汽清洁机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:36:29,2026-06-04T21:57:49
87,zh,蒸汽清洁机有哪些实用的产品功能？如何快速上手使用？,蒸汽清洁机,蒸汽清洁机手册,expert,蒸汽清洁机,蒸汽清洁机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:36:53,2026-06-04T21:58:11
88,zh,如何使用蒸汽清洁机清洁硬质地面？,蒸汽清洁机,蒸汽清洁机手册,expert,蒸汽清洁机,蒸汽清洁机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:37:11,2026-06-04T21:58:33
89,zh,组装人体工学椅涉及哪些部件？,人体工学椅,人体工学椅手册,expert,人体工学椅,人体工学椅手册,True,True,True,True,规则命中产品手册,2026-05-25T17:37:26,2026-06-04T21:58:36
90,zh,椅子的扶手使用一段时间后为什么会松动？,人体工学椅,人体工学椅手册,expert,人体工学椅,人体工学椅手册,True,True,True,True,规则命中产品手册,2026-05-25T17:37:39,2026-06-04T21:59:15
91,zh,这款椅子有哪些功能？,人体工学椅,人体工学椅手册,expert,人体工学椅,人体工学椅手册,True,True,True,True,规则命中产品手册,2026-05-25T17:37:55,2026-06-04T21:59:39
92,zh,洗碗机的部件有哪些？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:38:05,2026-06-04T22:01:47
93,zh,首次使用时，如何将洗碗机连接到排水口？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:38:14,2026-06-04T22:03:08
94,zh,使用前如何为洗碗机添加专用盐？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:38:32,2026-06-04T22:03:36
95,zh,如何为洗碗机添加洗涤剂？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:38:50,2026-06-04T22:04:05
96,zh,如何为洗碗机添加洗涤块？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:39:09,2026-06-04T22:04:55
97,zh,如何在洗碗机中添加和使用亮碟剂以获得更好的洗涤效果？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:39:24,2026-06-04T22:05:07
98,zh,哪些物品不适合在洗碗机中清洗？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:39:39,2026-06-04T22:05:29
99,zh,如何根据洗碗机型号安装餐具篮？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:39:58,2026-06-05T00:20:06
100,zh,使用洗碗机前如何安装可折叠下层篮架？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:40:22,2026-06-04T22:06:15
101,zh,如何调节洗碗机满载时上下碗篮的高度？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:40:42,2026-06-04T22:06:23
102,zh,如何清洁洗碗机的进水管滤网？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:40:54,2026-06-04T22:08:26
103,zh,如何清洁洗碗机的上层喷淋臂？,洗碗机,洗碗机手册,expert,洗碗机,洗碗机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:41:16,2026-06-04T22:09:24
104,zh,如何拆除空气净化器滤网的塑料包装？,空气净化器,空气净化器手册,expert,空气净化器,空气净化器手册,True,True,True,True,规则命中产品手册,2026-05-25T17:41:31,2026-06-04T22:10:31
105,zh,如何安装空气净化器的脚轮？,空气净化器,空气净化器手册,expert,空气净化器,空气净化器手册,True,True,True,True,规则命中产品手册,2026-05-25T17:41:45,2026-06-04T22:11:16
106,zh,空气净化器通常有哪些模式？如何设置？这些模式有什么特点？,空气净化器,空气净化器手册,expert,空气净化器,空气净化器手册,True,True,True,True,规则命中产品手册,2026-05-25T17:42:16,2026-06-04T22:11:29
107,zh,空气净化器的室内空气质量指示灯是什么？,空气净化器,空气净化器手册,expert,空气净化器,空气净化器手册,True,True,True,True,规则命中产品手册,2026-05-25T17:42:35,2026-06-04T22:12:45
108,zh,如何清洁空气净化器的设备内外？,空气净化器,空气净化器手册,expert,空气净化器,空气净化器手册,True,True,True,True,规则命中产品手册,2026-05-25T17:42:48,2026-06-04T22:13:37
109,zh,如何清洁空气净化器的滤网？,空气净化器,空气净化器手册,expert,空气净化器,空气净化器手册,True,True,True,True,规则命中产品手册,2026-05-25T17:43:05,2026-06-04T22:16:11
110,zh,如何更换空气净化器的滤网？,空气净化器,空气净化器手册,expert,空气净化器,空气净化器手册,True,True,True,True,规则命中产品手册,2026-05-25T17:43:26,2026-06-04T22:16:15
111,zh,如何清洁空气净化器的灰尘传感器？,空气净化器,空气净化器手册,expert,空气净化器,空气净化器手册,True,True,True,True,规则命中产品手册,2026-05-25T17:43:44,2026-06-04T22:16:43
112,zh,空气净化器需要长期存放时该怎么做？,空气净化器,空气净化器手册,expert,空气净化器,空气净化器手册,True,True,True,True,规则命中产品手册,2026-05-25T17:43:52,2026-06-04T22:16:46
113,zh,如何了解这款健身单车的技术规格？,健身单车,健身单车手册,expert,健身单车,健身单车手册,True,True,True,True,规则命中产品手册,2026-05-25T17:44:13,2026-06-04T22:19:03
114,zh,启动健身单车前，我需要做什么？,健身单车,健身单车手册,expert,健身单车,健身单车手册,True,True,True,True,规则命中产品手册,2026-05-25T17:44:33,2026-06-04T22:19:13
115,zh,我听说买的这款健身单车配有控制台和显示功能，能为我介绍一下吗？,健身单车,健身单车手册,expert,健身单车,健身单车手册,True,True,True,True,规则命中产品手册,2026-05-25T17:45:00,2026-06-04T22:19:17
116,zh,在健身单车上运动前，我需要调整什么来保证运动的舒适度？,健身单车,健身单车手册,expert,健身单车,健身单车手册,True,True,True,True,规则命中产品手册,2026-05-25T17:45:20,2026-06-04T22:19:23
117,zh,使用健身单车的轻松骑行类别时，我能体验到哪些预设运动程序？,健身单车,健身单车手册,expert,健身单车,健身单车手册,True,True,True,True,规则命中产品手册,2026-05-25T17:45:38,2026-06-04T22:21:03
118,zh,使用健身单车的山地类别时，我能体验到哪些预设运动程序？,健身单车,健身单车手册,expert,健身单车,健身单车手册,True,True,True,True,规则命中产品手册,2026-05-25T17:45:56,2026-06-04T22:21:50
119,zh,挑战健身单车的最高难度类别时，我能体验到哪些预设运动程序？,健身单车,健身单车手册,expert,健身单车,健身单车手册,True,True,True,True,规则命中产品手册,2026-05-25T17:46:16,2026-06-04T22:22:43
120,zh,如果我想编辑健身单车的用户档案，需要遵循哪些步骤？,健身单车,健身单车手册,expert,健身单车,健身单车手册,True,True,True,True,规则命中产品手册,2026-05-25T17:46:37,2026-06-04T22:23:08
121,zh,我想在使用健身单车时设置心率目标，能否根据我的年龄为我推荐合适的目标心率？,健身单车,健身单车手册,expert,健身单车,健身单车手册,True,True,True,True,规则命中产品手册,2026-05-25T17:46:59,2026-06-04T22:23:18
122,zh,我听说这款健身单车有体能测试程序，这是什么功能？,健身单车,健身单车手册,expert,健身单车,健身单车手册,True,True,True,True,规则命中产品手册,2026-05-25T17:47:15,2026-06-04T22:23:57
123,zh,如果要给电钻充电，需要遵循哪些步骤？,电钻,电钻手册,expert,电钻,电钻手册,True,True,True,True,规则命中产品手册,2026-05-25T18:06:15,2026-06-04T22:24:08
124,zh,我的DCB101型号电钻指示灯闪烁时，这些闪烁标识代表什么含义？,电钻,电钻手册,expert,电钻,电钻手册,True,True,True,True,规则命中产品手册,2026-05-25T18:06:29,2026-06-04T22:24:17
126,zh,使用电钻时，如何安装单套无键夹头？,电钻,电钻手册,expert,电钻,电钻手册,True,True,True,True,规则命中产品手册,2026-05-25T18:06:45,2026-06-04T22:25:00
127,zh,如果要安装和拆卸电钻的电池组，需要遵循什么步骤？,电钻,电钻手册,expert,电钻,电钻手册,True,True,True,True,规则命中产品手册,2026-05-25T18:06:56,2026-06-04T22:25:04
128,zh,使用电钻的腰带挂钩和批头夹时，需要特别注意什么？,电钻,电钻手册,expert,电钻,电钻手册,True,True,True,True,规则命中产品手册,2026-05-25T18:07:14,2026-06-04T22:25:13
129,zh,购买电钻后，应配备哪些附件？,电钻,电钻手册,expert,电钻,电钻手册,True,True,True,True,规则命中产品手册,2026-05-25T18:07:30,2026-06-04T22:25:49
130,zh,电钻的三年有限保修包含哪些内容？,电钻,电钻手册,expert,电钻,电钻手册,True,True,True,True,规则命中产品手册,2026-05-25T18:07:45,2026-06-04T22:26:17
131,zh,购买健身追踪器后，包装盒里应该有什么？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:07:54,2026-06-04T22:26:49
132,zh,我刚发现健身追踪器电量低，该如何正确为其充电？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:08:09,2026-06-04T22:26:54
133,zh,为了让健身追踪器性能更佳，日常佩戴和运动时该将其佩戴在什么位置？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:08:23,2026-06-04T22:27:12
134,zh,我的健身追踪器表带太紧了，该如何扣紧表带？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:08:38,2026-06-04T22:28:20
135,zh,我想取下健身追踪器，该如何正确拆卸表带？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:08:50,2026-06-04T22:29:08
136,zh,我听说可以操作健身追踪器的界面，具体该遵循哪些步骤？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:09:05,2026-06-04T22:29:31
137,zh,健身追踪器能对手机的通知实现哪些功能？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:09:19,2026-06-04T22:30:05
138,zh,能告诉我健身追踪器是如何追踪皮肤温度变化的吗？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:09:30,2026-06-04T22:30:07
139,zh,通过运动应用，健身追踪器是如何追踪并分析我的运动情况的？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:09:48,2026-06-04T22:30:10
140,zh,健身追踪器是如何测量我的心率的？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:09:58,2026-06-04T22:30:20
141,zh,我该如何仅使用健身追踪器完成消费支付？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:10:15,2026-06-04T22:31:10
142,zh,使用健身追踪器时，我可能会遇到哪些问题以及该如何解决？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:10:34,2026-06-04T22:31:13
144,zh,我想给健身追踪器设置锁屏，该如何实现？,健身追踪器,健身追踪器手册,expert,健身追踪器,健身追踪器手册,True,True,True,True,规则命中产品手册,2026-05-25T18:10:44,2026-06-04T22:31:52
145,zh,使用冰箱冰柜时需要注意什么？只需告诉我手册中的前五条。,冰箱,冰箱手册,expert,冰箱,冰箱手册,True,True,True,True,规则命中产品手册,2026-05-25T18:17:52,2026-06-04T22:32:20
146,zh,给冰箱连接电源时，需要做到哪些注意事项？只需告诉我手册中的前五条。,冰箱,冰箱手册,expert,冰箱,冰箱手册,True,True,True,True,规则命中产品手册,2026-05-25T18:18:10,2026-06-04T22:32:25
153,zh,考虑到燃油高度易燃且有毒，使用发电机时我需要注意什么？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:30:26,2026-06-04T22:33:38
154,zh,发电机工作后，发动机和消音器可能会发烫，这种情况下我该如何保证自身安全？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:30:45,2026-06-04T22:33:39
155,zh,日常使用中，如何防止发电机触电事故的发生？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:31:03,2026-06-04T22:33:57
156,zh,需要通过发电机的燃油开关旋钮供油时，我该遵循哪些步骤？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:31:23,2026-06-04T22:34:40
157,zh,使用发电机时，燃油的使用前检查十分重要，该如何操作？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:31:43,2026-06-04T22:35:43
158,zh,启动发电机发动机的前两个步骤是什么？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:31:56,2026-06-04T22:36:08
159,zh,我需要给发电机连接交流电，该过程中如何保证自身安全？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:32:15,2026-06-04T22:36:11
160,zh,我注意到发电机上有两种不同的开关，请为我介绍一下。,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:32:33,2026-06-04T22:38:22
161,zh,我该在哪里查找并记录发电机的标识信息？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:32:43,2026-06-04T22:38:30
162,zh,使用发电机的直流保护器时，我需要注意什么？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:32:59,2026-06-04T22:38:53
163,zh,使用发电机前，对发动机机油进行使用前检查十分重要，正确的步骤是什么？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:33:18,2026-06-04T22:39:00
164,zh,根据手册说明，启动发电机发动机的最后三个步骤是什么？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:33:35,2026-06-04T22:40:03
165,zh,发电机的电池电量不足了，该如何正确充电？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:33:52,2026-06-04T22:40:14
166,zh,我需要让发电机的发动机停机，告诉我该如何操作。,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:34:08,2026-06-04T22:40:16
167,zh,根据手册的建议，使用发电机时该如何检查火花塞？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:34:27,2026-06-04T22:41:51
168,zh,为了正确更换发电机的发动机机油，我需要遵循的前六个步骤是什么？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:34:47,2026-06-04T22:41:54
169,zh,我在操作发电机空气滤清器时出现了失误，请告诉我正确的步骤。,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:35:04,2026-06-04T22:41:59
170,zh,如果发电机的发动机无法启动，我该怎么办？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:45:27,2026-06-04T22:43:30
171,zh,我需要将发电机的燃油排空，该如何正确操作？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:45:50,2026-06-04T22:43:53
172,zh,使用该发电机为对电压敏感的精密设备供电前，我需要做什么？,发电机,发电机手册,expert,发电机,发电机手册,True,True,True,True,规则命中产品手册,2026-05-25T18:46:01,2026-06-04T22:44:23
173,zh,在划船或钓鱼的场景中，拖曳速度、半滑航速度和滑航速度分别指什么，它们在技巧和应用上有何不同？,摩托艇,摩托艇手册,expert,摩托艇,摩托艇手册,True,True,True,True,规则命中产品手册,2026-05-25T18:53:31,2026-06-04T22:44:29
174,zh,如何在深水中登上并平衡摩托艇，确保操作的安全性和稳定性？,摩托艇,摩托艇手册,expert,摩托艇,摩托艇手册,True,True,True,True,规则命中产品手册,2026-05-25T18:53:42,2026-06-04T22:45:34
175,zh,在滑航速度下驾驶摩托艇转弯时，有哪些技巧能在急转弯时保证稳定性和操控性？,摩托艇,摩托艇手册,expert,摩托艇,摩托艇手册,True,True,True,True,规则命中产品手册,2026-05-25T18:54:00,2026-06-04T22:45:38
176,zh,驾驶摩托艇时，有哪些技巧能在完成大椭圆转弯、绕圈和8字行驶动作的同时，保持操控性和稳定性？,摩托艇,摩托艇手册,expert,摩托艇,摩托艇手册,True,True,True,True,规则命中产品手册,2026-05-25T18:54:21,2026-06-04T22:46:22
177,zh,在驾驶摩托艇进行中低速转弯时，如何控制油门并保持行驶的稳定性和操控性？,摩托艇,摩托艇手册,expert,摩托艇,摩托艇手册,True,True,True,True,规则命中产品手册,2026-05-25T18:54:39,2026-06-04T22:46:23
178,zh,如何驾驶摩托艇以拖曳速度直行和转弯，保证操作的平顺性和操控性？,摩托艇,摩托艇手册,expert,摩托艇,摩托艇手册,True,True,True,True,规则命中产品手册,2026-05-25T18:54:55,2026-06-04T22:46:25
179,zh,摩托艇全加速行驶时，如何安全平稳地将其停稳？,摩托艇,摩托艇手册,expert,摩托艇,摩托艇手册,True,True,True,True,规则命中产品手册,2026-05-25T18:55:08,2026-06-04T22:47:16
180,zh,驾驶摩托艇时，如何避免发生碰撞事故，保障自身和水上其他人员的安全？,摩托艇,摩托艇手册,expert,摩托艇,摩托艇手册,True,True,True,True,规则命中产品手册,2026-05-25T18:55:25,2026-06-04T22:47:41
181,zh,水泵发动机安全停机的正确步骤是什么？,水泵,水泵手册,expert,水泵,水泵手册,True,True,True,True,规则命中产品手册,2026-05-25T19:00:57,2026-06-04T22:48:00
182,zh,水泵的核心部件有哪些？,水泵,水泵手册,expert,水泵,水泵手册,True,True,True,True,规则命中产品手册,2026-05-25T19:01:14,2026-06-04T22:48:01
183,zh,清洗油箱滤网的详细步骤是什么？,水泵,水泵手册,expert,水泵,水泵手册,True,True,True,True,规则命中产品手册,2026-05-25T19:01:30,2026-06-04T22:48:19
184,zh,水泵安全排放燃油的正确步骤是什么？,水泵,水泵手册,expert,水泵,水泵手册,True,True,True,True,规则命中产品手册,2026-05-25T19:01:46,2026-06-04T22:48:24
185,zh,水泵无法抽水的潜在原因有哪些，该如何有效诊断并解决这些问题？,水泵,水泵手册,expert,水泵,水泵手册,True,True,True,True,规则命中产品手册,2026-05-25T19:02:13,2026-06-04T22:49:31
186,zh,如何为温控器设置日期和时间，以实现精准的日程和温度控制？,可编程温控器,可编程温控器手册,expert,可编程温控器,可编程温控器手册,True,True,True,True,规则命中产品手册,2026-05-25T19:07:51,2026-06-04T22:49:35
187,zh,如何调整温控器的系统和风扇运行设置，以优化供暖和制冷效果？,可编程温控器,可编程温控器手册,expert,可编程温控器,可编程温控器手册,True,True,True,True,规则命中产品手册,2026-05-25T19:08:11,2026-06-04T22:49:46
188,zh,如何调整温控器的程序日程，以实现高效的能源利用和温度控制？,可编程温控器,可编程温控器手册,expert,可编程温控器,可编程温控器手册,True,True,True,True,规则命中产品手册,2026-05-25T19:08:31,2026-06-04T22:50:02
189,zh,如何在不影响已编程日程的情况下，临时更改温控器的温度设置？,可编程温控器,可编程温控器手册,expert,可编程温控器,可编程温控器手册,True,True,True,True,规则命中产品手册,2026-05-25T19:08:43,2026-06-04T22:50:32
190,zh,当设备或系统出现警报界面时，应采取哪些操作？,可编程温控器,可编程温控器手册,expert,可编程温控器,可编程温控器手册,True,True,True,True,全局RAG候选片段辅助命中产品手册,2026-05-25T19:09:07,2026-06-04T22:50:49
191,zh,针对热泵应如何修改接线，以确保连接正确且功能正常？,可编程温控器,可编程温控器手册,expert,可编程温控器,可编程温控器手册,True,True,True,True,规则命中产品手册,2026-05-25T19:09:28,2026-06-04T22:50:56
192,zh,如何安全更换温控器的电池，确保更换后设备功能正常？,可编程温控器,可编程温控器手册,expert,可编程温控器,可编程温控器手册,True,True,True,True,规则命中产品手册,2026-05-25T19:09:50,2026-06-04T22:51:08
193,zh,当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？,可编程温控器,可编程温控器手册,expert,可编程温控器,可编程温控器手册,True,True,True,True,规则命中产品手册,2026-05-25T19:10:11,2026-06-04T22:51:18
194,zh,遇到温控器故障时，可采用哪些故障排除解决方案？,可编程温控器,可编程温控器手册,expert,可编程温控器,可编程温控器手册,True,True,True,True,规则命中产品手册,2026-05-25T19:10:31,2026-06-04T22:51:55
195,zh,设备或系统中构成处理器单元的关键组件或部件有哪些？,VR头显,VR头显手册,expert,VR头显,VR头显手册,True,True,True,True,规则命中产品手册,2026-05-25T19:15:59,2026-06-04T22:51:56
196,zh,耳机有哪些类型，以及如何更换耳塞？,VR头显,VR头显手册,expert,VR头显,VR头显手册,True,True,True,True,全局RAG候选片段辅助命中产品手册,2026-05-25T19:16:27,2026-06-04T22:52:33
197,zh,为保持遮光罩的清晰度和功能性，正确的清洁步骤是什么？,VR头显,VR头显手册,expert,VR头显,VR头显手册,True,True,True,True,全局RAG候选片段辅助命中产品手册,2026-05-25T19:16:42,2026-06-04T22:52:45
198,zh,为确保安全且最佳的使用效果，游玩区域的推荐尺寸是多少？,VR头显,VR头显手册,expert,VR头显,VR头显手册,True,True,True,True,全局RAG候选片段辅助命中产品手册,2026-05-25T19:17:04,2026-06-04T22:53:15
199,zh,使用和操作VR头显时应采取哪些安全预防措施，以确保用户安全和设备使用寿命？,VR头显,VR头显手册,expert,VR头显,VR头显手册,True,True,True,True,规则命中产品手册,2026-05-25T19:17:22,2026-06-04T22:53:17
200,zh,功能键盘的保修政策通常包含哪些内容，又不包含哪些内容？,功能键盘,功能键盘手册,expert,功能键盘,功能键盘手册,True,True,True,True,规则命中产品手册,2026-05-25T19:21:57,2026-06-04T22:53:23
201,zh,功能键盘的保修政策中，损害赔偿的除外责任或免责声明通常是什么？,功能键盘,功能键盘手册,expert,功能键盘,功能键盘手册,True,True,True,True,规则命中产品手册,2026-05-25T19:22:21,2026-06-04T22:53:59
202,zh,如何设置功能键盘？,功能键盘,功能键盘手册,expert,功能键盘,功能键盘手册,True,True,True,True,规则命中产品手册,2026-05-25T19:23:01,2026-06-05T01:23:25
203,zh,如何拆卸和重新安装功能键盘的轴体？,功能键盘,功能键盘手册,expert,功能键盘,功能键盘手册,True,True,True,True,规则命中产品手册,2026-05-25T19:23:41,2026-06-05T01:37:52
204,zh,如何将功能键盘搭配CAM软件使用？,功能键盘,功能键盘手册,expert,功能键盘,功能键盘手册,True,True,True,True,规则命中产品手册,2026-05-25T19:24:26,2026-06-04T22:57:11
205,zh,如何在硬件模式下使用功能键盘？,功能键盘,功能键盘手册,expert,功能键盘,功能键盘手册,True,True,True,True,规则命中产品手册,2026-05-25T19:25:14,2026-06-05T01:05:55
206,zh,如何安装儿童电动摩托车的挡泥板？,儿童电动摩托车,儿童电动摩托车手册,expert,儿童电动摩托车,儿童电动摩托车手册,True,True,True,True,规则命中产品手册,2026-05-25T19:31:07,2026-06-04T23:02:53
207,zh,如何安装儿童电动摩托车的前轮？,儿童电动摩托车,儿童电动摩托车手册,expert,儿童电动摩托车,儿童电动摩托车手册,True,True,True,True,规则命中产品手册,2026-05-25T19:31:23,2026-06-04T23:03:59
