id,question,gpt55_product,current_product,same_product,retrieval_token_jaccard,question_token_coverage_gpt55,question_token_coverage_current,gpt55_retrieval_chars,current_retrieval_chars,gpt55_image_count,current_image_count,image_overlap_count,gpt55_answer_chars,current_answer_chars,answer_char_delta_current_minus_gpt55,gpt55_not_provided,current_not_provided,gpt55_sections,current_sections,gpt55_top_text,current_top_text
270,How should I clean my coffee maker after I use it so that it can last longer?,Espresso,Espresso,True,0.350,0.200,0.400,1203,2033,21,2,2,343,458,115,False,False,"CLEANING | WARNING | Risk of fatal elec trical shock and fire. Never immerse the appliance or part of it in wat | NOTE: duration approximately 15 minutes.1.Remove the capsule and close the lever. <PIC> 2. | FIRST USE OR AFTER A LONG PERIOD Of NON-USE | CAUTION: first read the important safeguards to avoid risks of fatal electrical shocks and | Descaling • descaling agent, when used correctly, helps to ensure the proper functioning o",CLEANING | WARNING | Risk of fatal elec trical shock and fire. Never immerse the appliance or part of it in wat,"# CLEANING # WARNING # Risk of fatal elec trical shock and fire. Never immerse the appliance or part of it in water. Make sure to unplug the machine before cleaning. Do not use any strong cleaning agent or solvent cleaner. Do not use sharp objects, brushes or sharp abrasives. Do not place in a dishw # NOTE: duration approximately 15 minutes.1.Remove the capsule and close the lever. <PIC> 2.Empty the drip tray and used capsule container. <PIC> 3.fill the water tank with 0.5 L / 17 oz of drinkable water and add 1 descaling liquid.<PIC> 4.Place a container (minimum volume 1 L / 34 oz) under the co # FIRST USE OR AFTER A LONG PERIOD Of NON-USE# CAUTION: first read the important safeguards to avo","# CLEANING # WARNING # Risk of fatal elec trical shock and fire. Never immerse the appliance or part of it in water. Make sure to unplug the machine before cleaning. Do not use any strong cleaning agent or solvent cleaner. Do not use sharp objects, brushes or sharp abrasives. Do not place in a dishwasher. Clean the cofee outlet regularly with a soft damp cloth. <PIC> Maintenance unit can be removed in separate pieces for easy cleaning.<PIC> for the correct amount and procedure to follow, consult the user manual included in the descaling kit. descaling agent, when used correctly, helps to ensure the proper functioning of your machine over its lifetime and that your cofee experience is as perf"
271,How to open the swim platform of the boat\uff1f,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.273,0.800,0.800,1203,1595,7,8,6,164,176,12,False,False,"Ladder The ladder is stored under the swim platform. To use the ladder: (1) Lift the end o | Wet storage compartment The wet storage compartment is located under the swim platform. To | WARNING To avoid severe injury or death, do not board from the rear, use swim platform, or | Swim platform | WARNING Stay away from the swim platform area while the engine is running. Exhaust gases c",Wet storage compartment The wet storage compartment is located under the swim platform. To | Ladder The ladder is stored under the swim platform. To use the ladder: (1) Lift the end o,"# Ladder The ladder is stored under the swim platform. To use the ladder: (1) Lift the end of the ladder to release it from the hooks on the boat. <PIC> 1 Ladder (2) Pull the ladder out completely, and then lower it. <PIC> To stow the ladder: (1) Raise the ladder until it is horizontal, and then pus # Wet storage compartment The wet storage compartment is located under the swim platform. To open the wet storage compartment: (1) Pull the lock handle up. (2) Turn the lock handle clockwise, and then open the rear platform hatch. <PIC> 1 Rear platform hatch 2 Lock handle <PIC> 1 Wet storage compart # WARNING To avoid severe injury or death, do not board from the rear, use swim platform, or swim ","# Wet storage compartment The wet storage compartment is located under the swim platform. To open the wet storage compartment: (1) Pull the lock handle up. (2) Turn the lock handle clockwise, and then open the rear platform hatch. <PIC> 1 Rear platform hatch 2 Lock handle <PIC> 1 Wet storage compartment To close the wet storage compartment: (1) Close the rear platform hatch.(2) Turn the lock handle counterclockwise and make sure that the hatch is securely closed.(3) Push the lock handle down. (1) Be sure the engines are off, and then move to the stern of the boat. (2) Pull out the ladder and climb up onto the swim platform. (See page 70 for information on ladder.) <PIC> (3) Return the ladder"
272,How to open the livewell and add water on the boat?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.639,0.800,0.800,1203,976,8,5,4,347,236,-111,False,False,Livewell The livewell for holding live bait and fish is located on the starboard side of t | TIP: Push the courtesy light switch to turn on the livewell light. To drain water from the | Bucket storage compartment The bucket storage compartment is located in the center of the | 210FSH SPORT <PIC> 1 Anchor light | Aerator switch Use this switch to circulate the water in the livewell. Push the “MNL” side,210FSH SPORT <PIC> 1 Rod holder | Livewell The livewell for holding live bait and fish is located on the starboard side of t | TIP: Push the courtesy light switch to turn on the livewell light. To drain water from the,# Livewell The livewell for holding live bait and fish is located on the starboard side of the boat at the stern. To open the livewell: Pull the latch to open the livewell lid. <PIC> 1 Livewell lid 2 Latch <PIC> 1 Livewell To supply water to the livewell: (1) Push the livewell switch to turn on the # TIP: Push the courtesy light switch to turn on the livewell light. To drain water from the livewell: (1) Remove the drain plug on the bottom of the livewell to drain the water. <PIC> 1 Drain plug (2) Securely install the drain plug in its original position. To close the livewell: Close the livewel # Bucket storage compartment The bucket storage compartment is located in the center of the boat at,"# 210FSH SPORT <PIC> 1 Rod holder # Livewell The livewell for holding live bait and fish is located on the starboard side of the boat at the stern. To open the livewell: Pull the latch to open the livewell lid. <PIC> 1 Livewell lid 2 Latch <PIC> 1 Livewell To supply water to the livewell: (1) Push the livewell switch to turn on the livewell pump and supply water. (2) When there is sufficient water in the livewell, push the livewell switch to turn off the livewell pump. (3) If necessary, push the aerator switch to aerate and circulate the water in the livewell. (See page 52.) <PIC> 1 Aerator switch 2 Livewell switch # TIP: Push the courtesy light switch to turn on the livewell light. To drain"
273,What is the maintenance setting screen of the boat controller?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.446,0.600,0.600,1203,950,9,5,3,308,211,-97,False,False,"Maintenance setting screen This screen displays the number of hours that the engines have | Instrument operation ....................... 36 Tachometers............................... | Unit setting screen The display units for the multi-function display unit can be changed. | Aerator setting screen The on and off time intervals for the aerator can be set. <PIC> <PI | TIP: To return to the maintenance setting screen without resetting the number of hours, ta | Language setting screen The language for the multi-function display unit can be changed. <","Maintenance setting screen This screen displays the number of hours that the engines have | TIP: To return to the maintenance setting screen without resetting the number of hours, ta | Setting screen The setting screen can be used to change the settings of the multi-function | Maintenance ....................................118 Maintenance...........................","# Maintenance setting screen This screen displays the number of hours that the engines have been running since the last maintenance. <PIC> After maintenance is performed, reset the number of hours of operation as follows. To reset the number of hours of operation: (1) Tap the “Reset” button. <PIC> 1 # Instrument operation ....................... 36 Tachometers.................................. 36 Multi-function display unit operation..................................... 36 Multi-function display elements..... 37 Static bar .................................... 37 Screen tab bar ................. # Unit setting screen The display units for the multi-function display unit can be changed. <PIC> ","# Maintenance setting screen This screen displays the number of hours that the engines have been running since the last maintenance. <PIC> After maintenance is performed, reset the number of hours of operation as follows. To reset the number of hours of operation: (1) Tap the “Reset” button. <PIC> 1 “Reset” button (2) When the confirmation message appears, tap the “YES” button to reset the number of hours of operation. # TIP: To return to the maintenance setting screen without resetting the number of hours, tap the “NO” button. <PIC> 1 “YES” button # Setting screen The setting screen can be used to change the settings of the multi-function display unit. <PIC> <PIC> # Maintenance ............"
274,"In the boat's steering position, what does the factory reset screen show?",2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.585,0.571,0.571,1203,1383,5,5,5,144,133,-11,False,False,"Factory reset screen This screen can be used to reset the settings to their factory defaul | Instrument operation ....................... 36 Tachometers............................... | Trip screen This screen displays the hours of engine operation, fuel consumption, and othe | T Tachometers ............................................36 Tilt lever...................",Factory reset screen This screen can be used to reset the settings to their factory defaul | T Tachometers ............................................36 Tilt lever...................,"# Factory reset screen This screen can be used to reset the settings to their factory default settings. <PIC> To reset the settings: (1) Tap the “Reset” button. <PIC> 1 “Reset” button (2) When the confirmation message appears, tap the “YES” button to reset the settings. TIP: To return to the factory # Instrument operation ....................... 36 Tachometers.................................. 36 Multi-function display unit operation..................................... 36 Multi-function display elements..... 37 Static bar .................................... 37 Screen tab bar ................. # Trip screen This screen displays the hours of engine operation, fuel consumption, and other info","# Factory reset screen This screen can be used to reset the settings to their factory default settings. <PIC> To reset the settings: (1) Tap the “Reset” button. <PIC> 1 “Reset” button (2) When the confirmation message appears, tap the “YES” button to reset the settings. TIP: To return to the factory reset screen without resetting the settings, tap the “NO” button. <PIC> 1 “YES” button # T Tachometers ............................................36 Tilt lever.................................................... 34 To get more boating safety information... 21 Towing the boat ..................................... 130 Trailering checklist .. ............................... 107 Trailering the boat "
275,What is the trip screen shown?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.348,0.667,0.667,1188,1952,15,13,13,224,264,40,False,False,"Instrument operation ....................... 36 Tachometers............................... | Touching the multi-function display <PIC> | Multi-function display elements 1 Static bar 2 Screen tab bar 3 Center display 4 Warning b | Static bar <PIC> <PIC> <PIC> | Screen tab bar <PIC> <PIC> | Center display <PIC> <PIC> | Warning bar <PIC> <PIC> | Home screen <PIC> <PIC> | Trip screen This screen displays the hours of engine operation, fuel consumption, and othe | T Tachometers ............................................36 Tilt lever...................","Static bar <PIC> <PIC> <PIC> | Screen tab bar <PIC> <PIC> | Center display <PIC> <PIC> | Warning bar <PIC> <PIC> | Home screen <PIC> <PIC> | Trip screen This screen displays the hours of engine operation, fuel consumption, and othe | T Tachometers ............................................36 Tilt lever...................","# Instrument operation ....................... 36 Tachometers.................................. 36 Multi-function display unit operation..................................... 36 Multi-function display elements..... 37 Static bar .................................... 37 Screen tab bar ................. # Touching the multi-function display <PIC> # Multi-function display elements 1 Static bar 2 Screen tab bar 3 Center display 4 Warning bar <PIC> # Static bar <PIC> <PIC> <PIC> # Screen tab bar <PIC> <PIC> # Center display <PIC> <PIC> # Warning bar <PIC> <PIC> # Home screen <PIC> <PIC> # Trip screen This screen displays the hours of engine operation, fuel consumption, and other information. 1 Menu","# Static bar <PIC> <PIC> <PIC> # Screen tab bar <PIC> <PIC> # Center display <PIC> <PIC> # Warning bar <PIC> <PIC> # Home screen <PIC> <PIC> # Trip screen This screen displays the hours of engine operation, fuel consumption, and other information. # T Tachometers ............................................36 Tilt lever.................................................... 34 To get more boating safety information... 21 Towing the boat ..................................... 130 Trailering checklist .. ............................... 107 Trailering the boat .................................. 107 Trip screen ............................................... 39 Troubleshooting ......................"
276,"When I am ready to sail, if everything is ready, how do I make the boat move forward?",2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.202,0.500,0.667,921,2190,3,3,3,264,167,-97,False,False,"Turning the boat | Leaving a dock Because boats steer from the stern, the stern first moves in the direction | TIP: This boat is equipped with a “start-in-gear” protection. The engines will not start u | Forward When the remote control levers are initially moved to the forward position and the",Forward When the remote control levers are initially moved to the forward position and the,"# Turning the boat # Leaving a dock Because boats steer from the stern, the stern first moves in the direction opposite your desired turn. It is especially important to understand this characteristic when leaving a dock. If you move the remote control levers to the forward position and simply turn the steering wheel t # TIP: This boat is equipped with a “start-in-gear” protection. The engines will not start unless the levers are in the neutral position. This boat uses a direct-drive propulsion system. Therefore, jet thrust is always being produced while the engines are running. The direction of the boat is contro # Forward When the remote control levers are initially moved to the forward pos","Drain any excess water from the bilge using the bilge pump. Be sure all people are standing clear, and then lift the boat slowly and just far enough to verify that the boat is securely held and properly balanced. If necessary, lower the boat again and adjust the slings. When ready, lift the boat slowly and carefully. Using too much throttle can cause the boat to jump over the front of the trailer, which can result in injury to the boat operator and bystanders. (4) Make sure the boat is centered on the support rails and is headed straight for the bow stop (bumper board). Ease the boat forward until the bow rests against the bow stop. NOTICE: The winch line is not designed to pull the boat o"
277,How do I check the boat's steering system when I'm driving it?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.262,0.667,0.667,1007,2246,11,1,1,648,210,-438,False,False,"Steering system checks Make sure the steering wheel is not loose. There should not be any | Steering Your boat can be steered by turning the steering wheel the same direction you wis | You need throttle to steer. <PIC> | Turning left <PIC> | Turning right <PIC> | Boating with passengers | Pre-operation checklist Before operating this boat, perform the checks in the following ch",Steering system checks Make sure the steering wheel is not loose. There should not be any | Steering Your boat can be steered by turning the steering wheel the same direction you wis | S Sample float plan ................................... 134 Seats ........................,"# Steering system checks Make sure the steering wheel is not loose. There should not be any free play, either inand-out or in rotation. Turn the steering wheel fully to the right and left to make sure operation is smooth and unrestricted throughout the whole range. <PIC> Make sure both the jet thrus # Steering Your boat can be steered by turning the steering wheel the same direction you wish to travel, to the right or left. When the steering wheel is turned, the angle of the jet thrust nozzles at the rear of the craft is changed, and the change in direction of the jet thrust nozzles changes the # You need throttle to steer. <PIC> # Turning left <PIC> # Turning right <PIC> # Boating with pass","# Steering system checks Make sure the steering wheel is not loose. There should not be any free play, either inand-out or in rotation. <PIC> 1 Neutral position 2 TDE position 3 Forward position 4 Reverse position 5 Shift 6 Fully closed 7 Throttle 8 Fully open Check that the shift gates are slightly above the shift gate neutral position when the remote control levers are in the forward position, and that the shift gates are in the fully open position when the remote control levers are moved farther forward. # Steering Your boat can be steered by turning the steering wheel the same direction you wish to travel, to the right or left. When the steering wheel is turned, the angle of the jet thru"
278,How should fire extinguishers be stored on board and where should they be placed?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.279,0.286,0.571,1093,1712,4,2,2,463,329,-134,False,False,"Storing the fire extinguisher One fire extinguisher is to be mounted in the lockable stora | Fire extinguisher check As an inboard boat less than 26 feet in length, your boat must be | Storage compartments This boat is equipped with the following convenient on-board storage | Operating the fire extinguisher A chemical-type fire extinguisher may not help when spraye",Storing the fire extinguisher One fire extinguisher is to be mounted in the lockable stora,"# Storing the fire extinguisher One fire extinguisher is to be mounted in the lockable storage compartment. The fire extinguisher recommended for this location is a chemical-type extinguisher with a capacity of two pounds or more. <PIC> If you choose to have two fire extinguishers, the other fire ex # Fire extinguisher check As an inboard boat less than 26 feet in length, your boat must be fitted with one 5-B (B-1) type fire extinguisher when navigating waters controlled by the U.S. Coast Guard. In addition, most state and local boating laws require that the craft carry a USCG-approved fire ext # Storage compartments This boat is equipped with the following convenient on-board storage compar","# Storing the fire extinguisher One fire extinguisher is to be mounted in the lockable storage compartment. The fire extinguisher recommended for this location is a chemical-type extinguisher with a capacity of two pounds or more. <PIC> If you choose to have two fire extinguishers, the other fire extinguisher is to be mounted in the battery compartment. There is a location label outside the compartment.  Personal flotation devices (PFD): Type I, II, or III as required for all people on board (see “Operational requirements” for more information), plus at least one Type IV (throwable type).  Fire extinguisher: At least one 5-B (B-1) type hand-held portable fire extinguisher.  Visual distres"
279,How to care the throttle-cable of the boat?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.220,1.000,1.000,1203,2072,3,2,2,158,75,-83,False,False,"Grease points To keep moving parts sliding or rotating smoothly, coat them with water-resi | Throttle cable Grease the throttle-cable inner wires at the pulley wheel of the APS. <PIC> | Care and storage...........................111 Post-operation care .....................11 | Post-operation checks These post-operation procedures are developed to help preserve the l | TIP: (1) Remove the hull drain plug. (See page 82 for hull drain plug removal and installa","Grease points To keep moving parts sliding or rotating smoothly, coat them with water-resi | Throttle cable Grease the throttle-cable inner wires at the pulley wheel of the APS. <PIC> | Care and storage...........................111 Post-operation care .....................11","# Grease points To keep moving parts sliding or rotating smoothly, coat them with water-resistant grease.# Throttle cable Grease the throttle-cable inner wires at the pulley wheel of the APS. <PIC> Steering cable ball joints and inner wire Grease the steering cable and shift cable ball joints at the # Care and storage...........................111 Post-operation care .....................111 Flushing the cooling system .....111 Cleaning the boat......................112 Basic stain guide.......................114 Battery care...............................115 Long-term storage ................. # Post-operation checks These post-operation procedures are developed to help preserve the long-te","# Grease points To keep moving parts sliding or rotating smoothly, coat them with water-resistant grease.# Throttle cable Grease the throttle-cable inner wires at the pulley wheel of the APS. <PIC> Steering cable ball joints and inner wire Grease the steering cable and shift cable ball joints at the jet thrust nozzles. Extend the steering cable and shift cable inner wires and apply a thin coat of grease to them. <PIC>  Avoid sharp turns or other maneuvers that make it hard for others to avoid you or understand where you are going.  Avoid areas with submerged objects or shallow water.  Take early action to avoid collisions. Remember, boats do not have brakes.  Do not pull the remote contr"
280,How do I charge the camera battery when I'm not using it?,相机,"Digital, single-lens reflex, AF/AE camera",False,0.020,0.000,1.000,1203,1372,12,2,0,423,378,-45,False,False,装入电池 <PIC> 滑动电池盖将其打开。 <PIC> 按照电池上的箭头指示装入电池。 确保电池上的黄线与相机上的标记对齐。• 取出电池时，将电池锁扣推向一侧，然后将电池滑出相机。 | 充电状态指示 <PIC> | 通过电脑充电： • 直接将相机与电脑连接。请勿通过键盘或USB集线器连接。 • 如 | 查看剩余电量 在拍摄/回放画面按下$\leftrightarrow_{\mathsf{D(返回)}}$（返回）按钮，LCD显示屏上将显示剩余电量。 <PIC> $\twoheadr | 电池使用注意事项 • 请确保正确使用相机。 使用前请仔细阅读这些安全注意事项和用户指南。 • 阅读这些安全注意事项后，请妥善保管。 <PIC> <PIC> | 电池 以下说明电池的正确使用方法和延长寿命的技巧。使用不当可能缩短电池寿命或导致漏液、过热、火灾或爆炸。 出厂时电池未充电。 使用前请充满电。 | ■ 电池注意事项 电池不使用时电量会逐渐流失。 使用前1至2天充电。 不使用时关闭相机可延长电池寿命。 低温下电池容量下降；电量耗尽的电池在低温下可能无法工作。 请将充满电的备用电 | ■ 电池寿命 正常温度下，电池可重复充电约300次。 电池续航时间明显缩短时，说明已达到使用寿命，应更换。 | ■ 存放 充满电长时间存放可能影响性能。 存放前请将电量完全耗尽。 相机长时间不使用时，请取出电池，存放在干燥、温度+15℃至+25℃（+59℉至+77℉）的环境中。 请勿存放在温 | ■ 注意事项：电池处理 • 请勿在电池上粘贴标签或其他物品。 • 请勿撕裂或剥离外部标签。 • 保持电极清洁。 • 长时间使用后，电池和相机机身可能发热，属于正常现象。 | ■ 废弃处理 按照当地规定处理废旧电池。 | 相机认证标志位于相仓内部。 <PIC> 您购买的产品由可回收锂离,"Recharging the Battery For details on the battery, refer to the instructions for Battery P | Remove the cover. ·When you remove the battery from the camera, be sure to reattach the co",# 装入电池 <PIC> 滑动电池盖将其打开。 <PIC> 按照电池上的箭头指示装入电池。 确保电池上的黄线与相机上的标记对齐。• 取出电池时，将电池锁扣推向一侧，然后将电池滑出相机。 <PIC> 关闭电池盖。 电池充电 注意安装方向。 <PIC> 使用随附的USB线将相机与智能手机专用交流电源适配器连接，然后将交流电源适配器插入室内电源插座。 • 使用符合以下额定输出的交流电源适配器：直流5.0伏/1000毫安 • 充电过程中可以拍摄或打印图像。 • 充电时间约为三到四小时。 # 充电状态指示 <PIC> # 通过电脑充电： • 直接将相机与电脑连接。请勿通过键盘或USB集线器连接。 • 如 # 查看剩余电量 在拍摄/回放画面按下$\leftrightarrow_{\mathsf{D(返回)}}$（返回）按钮，LCD显示屏上将显示剩余电量。 <PIC> $\twoheadrightarrow$ 电量不足时，LCD显示屏右下角会出现$(\overbrace{\phantom{\left(\sum\mathrm{~\textperth}\right)}})$图标。 电量耗尽时，LCD显示屏上会放大显示$(\overbrace{\mathsf{E M P}}^{\subset\supset})$图标，相机关闭。 • 若一段时间内无任何操作，相机会自动关机。您可以设置自动关机时间。（第62 # 电池使用注意事项 • 请确保正确使用相机。 使用前请仔细阅读这些安全注意事项和用户指南。 • 阅读这些安全注意事项后，请妥善保管。 <PIC> <PIC> # 电池 以下说明电池的正确使用方法,"When not using the camera,remove the battery and attach the protective cover to prevent shorting. Before using the camera again, be sure to recharge the battery. · After the red lamp lights, continue to recharge the battery for an hour to attain a full charge. ·By referring to the marking, you can attach the protective cover to the battery to indicate whether the battery has been recharged or not. # Recharging the Battery For details on the battery, refer to the instructions for Battery Pack BP-511A. # Remove the cover. ·When you remove the battery from the camera, be sure to reattach the cover to protect against short circuit. <PIC> <PIC> ·Do not recharge any battery pack other than Battery"
281,How to install the camera battery when another one is power off?,"Digital, single-lens reflex, AF/AE camera","Digital, single-lens reflex, AF/AE camera",True,0.138,0.429,0.857,1203,1504,7,0,0,267,58,-209,False,False,"Recharging the Battery For details on the battery, refer to the instructions for Battery P | Remove the cover. ·When you remove the battery from the camera, be sure to reattach the co | Attach the battery. Align the battery front edge with the | Installing and Removing the Battery | Installing the Battery Load a fully charged BP-511A battery pack into the camera. | Open the battery compartment cover. ·Slide the lever as shown by the arrow and open the co | Insert the battery. ·Point the battery contacts downward. ● Insert the ba | Removing the Battery | Open the battery compartment cover. ·Slide the lever as shown by the arrow and open the co | Remove the battery. ·Slide the battery lock lever as shown by the arrow and remove the bat | Using a Household Power Outlet With AC Adapter Kit ACK-E2 (optional), | Power Source The battery cannot be recharged. ·You are using the wrong battery. $\rightarr",Installing and Removing the Battery | Installing the Battery Load a fully charged BP-511A battery pack into the camera. When not,"# Recharging the Battery For details on the battery, refer to the instructions for Battery Pack BP-511A. # Remove the cover. ·When you remove the battery from the camera, be sure to reattach the cover to protect against short circuit. <PIC> # Attach the battery. Align the battery front edge with the # Installing and Removing the Battery # Installing the Battery Load a fully charged BP-511A battery pack into the camera. # Open the battery compartment cover. ·Slide the lever as shown by the arrow and open the cover. <PIC> # Insert the battery. ·Point the battery contacts downward. ● Insert the ba # Removing the Battery # Open the battery compartment cover. ·Slide the lever as shown by the arro","# Installing and Removing the Battery # Installing the Battery Load a fully charged BP-511A battery pack into the camera. When not using the camera,remove the battery and attach the protective cover to prevent shorting. Before using the camera again, be sure to recharge the battery. · After the red lamp lights, continue to recharge the battery for an hour to attain a full charge. ·By referring to the marking, you can attach the protective cover to the battery to indicate whether the battery has been recharged or not. When the camera finishes recording the image to the CF card, the access lamp will stop blinking and the power will turn off automatically. The battery becomes exhausted quickly."
282,How do I connect the camera using a household power socket?,"Digital, single-lens reflex, AF/AE camera","Digital, single-lens reflex, AF/AE camera",True,0.355,0.800,0.800,1203,1138,5,3,1,295,310,15,False,False,"Getting Started 17 Recharging the Battery... .18 Installing and Removing the Battery.. .20 | Removing the Battery | Open the battery compartment cover. ·Slide the lever as shown by the arrow and open the co | Remove the battery. ·Slide the battery lock lever as shown by the arrow and remove the bat | Using a Household Power Outlet With AC Adapter Kit ACK-E2 (optional), | Insert the DC Coupler. Open the battery compartment cover and open the DC Coupler cord not | Mounting | Connect the camera to the TV. ·Open the camera's terminal cover. ·Use the video cable (pro | Set the switch to<ON>","Using a Household Power Outlet With AC Adapter Kit ACK-E2 (optional), you can connect the | AC Adapter Kit ACK-E2 Power source kit (AC adapter, DC coupler, power cord) for supplying | Place the cord in the groove. ·Carefully insert the cord into the groove without damaging | Insert the DC Coupler. Open the battery compartment cover and open the DC Coupler cord not","# Getting Started 17 Recharging the Battery... .18 Installing and Removing the Battery.. .20 Using a Household Power Outlet... .22 Mounting and Detaching a Lens..... ..23 Installing and Removing the CF Card.. .24 Basic Operation..... .26 Menu Operations. .29 Setting the Language.... .33 Set the powe # Removing the Battery # Open the battery compartment cover. ·Slide the lever as shown by the arrow and open the cover. <PIC># Remove the battery. ·Slide the battery lock lever as shown by the arrow and remove the battery. <PIC> # Using a Household Power Outlet With AC Adapter Kit ACK-E2 (optional), # Insert the DC Coupler. Open the battery compartment cover and open the DC Coupler cord notch cov","# Using a Household Power Outlet With AC Adapter Kit ACK-E2 (optional), you can connect the camera to a household power outlet and not worry about the battery level. # AC Adapter Kit ACK-E2 Power source kit (AC adapter, DC coupler, power cord) for supplying power to the camera with a household power outlet. Compatible with AC 100 - 240 V. <PIC> # Place the cord in the groove. ·Carefully insert the cord into the groove without damaging it. <PIC> # Insert the DC Coupler. Open the battery compartment cover and open the DC Coupler cord notch cover. ●Insert the DC Coupler until the lock position and put the cord through the notch. ·Close the cover. Do not connect or disconnect the power cord whil"
283,How do you mount the lens of a camera when preparing for photography?,"Digital, single-lens reflex, AF/AE camera","Digital, single-lens reflex, AF/AE camera",True,0.458,0.600,0.600,1146,912,7,4,3,325,453,128,False,False,"Insert the DC Coupler. Open the battery compartment cover and open the DC Coupler cord not | Mounting | While pressing the lens release button, turn the lens as shown by the arrow. ●Turn the len | Getting Started This chapter explains a few preliminary steps and basic camera operations. | Attaching the Strap Pass the end of the strap through the camera's strap mount from the bo | Attach the lens. Align theEF-Slenswiththecamera's whiteEF-Slensmountindexandturn the lens | On the lens, set","Mounting and Detaching a Lens | Mounting a Lens | Remove the caps. ·Remove the rear lens cap and the body cap by turning them as shown by th | Attach the lens. Align theEF-Slenswiththecamera's whiteEF-Slensmountindexandturn the lens | Detaching the Lens | While pressing the lens release button, turn the lens as shown by the arrow. ●Turn the len | Lens Electrical Contacts After detaching the lens from the camera, attach the lens caps or","# Insert the DC Coupler. Open the battery compartment cover and open the DC Coupler cord notch cover. ●Insert the DC Coupler until the lock position and put the cord through the notch. ·Close the cover. Do not connect or disconnect the power cord while the camera's switch is set to <PIC> # Mounting # While pressing the lens release button, turn the lens as shown by the arrow. ●Turn the lens until it stops, then detach it. When ataching or detaching the lens, take care to prevent dust from entering the camera through the lens mount. <PIC> # Getting Started This chapter explains a few preliminary steps and basic camera operations. <PIC> # Attaching the Strap Pass the end of the strap through t","# Mounting and Detaching a Lens # Mounting a Lens # Remove the caps. ·Remove the rear lens cap and the body cap by turning them as shown by the arrow. <PIC> # Attach the lens. Align theEF-Slenswiththecamera's whiteEF-Slensmountindexandturn the lens as shown by the arrow until it clicks in place. When attaching a lens other than an EF-S lens,align the lens with the red EF lens index mark. EF-S Lens mount index EF lens mount index <PIC> # Detaching the Lens # While pressing the lens release button, turn the lens as shown by the arrow. ●Turn the lens until it stops, then detach it. When ataching or detaching the lens, take care to prevent dust from entering the camera through the lens mount. <P"
284,How do you install the card into a camera before photography?,"Digital, single-lens reflex, AF/AE camera","Digital, single-lens reflex, AF/AE camera",True,0.367,0.500,0.500,1201,1293,8,2,2,214,233,19,False,False,Installing and Removing the CF Card The captured image will be recorded onto the CF card ( | Installing the | Insert the CF card. Using CF cards is recommended. If the CF card isinserted in the wrong | Direct Printing from the Camera You can connect the camera directly to a printer and print | E-series Dioptric Adjustment Lenses One of ten E-series dioptric adjustment lenses(-4 to $ | CF card Data storage media where the captured images are recorded. CF cards made by are re,Installing the Card | Open the cover. Slide the cover as shown by the arrow to open it. <PIC> | Insert the CF card. Using CF cards is recommended. If the CF card isinserted in the wrong | Installing and Removing the CF Card The captured image will be recorded onto the CF card (,"# Installing and Removing the CF Card The captured image will be recorded onto the CF card (optional). Although the thickness is different, a Type I or Type Il CF card can be inserted intothecamera.Thecamera is alsocompatiblewithMicrodrive and CF cards with 2 GB or higher capacity. # Installing the # Insert the CF card. Using CF cards is recommended. If the CF card isinserted in the wrong way, it may damage the camera. As shown by the arrow, face the label side toward you and insertthe end with the small holes into the camera. The CF card eject button pops out. Top <PIC> CF card eject button # Direct Printing from the Camera You can connect the camera directly to a printer and print out the ","l With white balance backeting p.54), the maximum burst wil be 6. ●The maximum burst is displayed even when the drive mode is set to $\multimap$ (Single) or $<\stackrel{\bullet}{\bf{\tilde{S}}}>. $ The maximum burst is displayed even when a CF card is not in the camera. Therefore, before shooting, make sure that a CF card is installed in the camera. The ISO speed is a numeric indication of the sensitivity to light. A higher ISO speed number indicates a higher sensitivity to light. Therefore, a high ISO speed is suited for low light and moving subjects. However, the image may look more coarse with noise, etc. # Installing the Card # Open the cover. Slide the cover as shown by the arrow to ope"
